127.0.0.1, 2018-01-14 22:25:14, GET, /, HTTP/1.1, 303, 0.000886
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.194309
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000575
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000694
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000451
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 404, 0.000382
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000479
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000458
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000467
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000468
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2018-01-14 22:25:14, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000496
127.0.0.1, 2018-01-14 22:25:15, GET, /welcome/static/js/jquery.js, HTTP/1.1, 404, 0.000562
127.0.0.1, 2018-01-14 22:25:15, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000658
127.0.0.1, 2018-01-14 22:25:15, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000559
127.0.0.1, 2018-01-14 22:25:15, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000488
127.0.0.1, 2018-01-14 22:25:15, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000395
127.0.0.1, 2018-01-14 22:25:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.026255
127.0.0.1, 2018-01-14 22:25:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 404, 0.000368
127.0.0.1, 2018-01-14 22:25:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 404, 0.000486
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/default/site, HTTP/1.1, 303, 0.055729
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/default/index, HTTP/1.1, 200, 0.037348
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 404, 0.000364
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.000386
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.000422
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.000429
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000612
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000330
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000356
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000370
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000349
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000414
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000409
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.000417
127.0.0.1, 2018-01-14 22:25:30, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.000360
127.0.0.1, 2018-01-14 22:25:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2018-01-14 22:25:34, POST, /admin/default/index, HTTP/1.1, 303, 0.036178
127.0.0.1, 2018-01-14 22:25:34, GET, /admin/default/site, HTTP/1.1, 200, 0.045601
127.0.0.1, 2018-01-14 22:25:34, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 404, 0.000352
127.0.0.1, 2018-01-14 22:25:34, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.000571
127.0.0.1, 2018-01-14 22:25:34, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.000550
